iter	Passed	Remaining
473	680	754
474	681	753
475	682	751
476	683	749
477	684	747
478	685	745
479	686	744
480	687	742
481	688	740
482	689	738
483	691	736
484	692	735
485	693	733
486	695	732
487	696	730
488	697	729
489	698	726
490	699	724
491	700	723
492	701	721
493	702	719
494	703	717
495	704	715
496	705	713
497	706	711
498	707	710
499	708	708
500	709	707
501	710	705
502	711	703
503	712	701
504	713	699
505	714	697
506	715	695
507	716	693
508	717	691
509	718	689
510	718	688
511	719	686
512	721	684
513	722	683
514	724	681
515	725	680
516	725	678
517	726	676
518	727	674
519	728	672
520	729	670
521	730	669
522	731	667
523	732	665
524	733	663
525	734	661
526	735	660
527	736	658
528	738	657
529	739	655
530	740	653
531	741	651
532	741	650
533	742	648
534	743	646
535	744	644
536	745	642
537	746	640
538	747	639
539	748	637
540	749	635
541	750	634
542	751	632
543	752	631
544	753	629
545	754	627
546	755	625
547	756	623
548	757	621
549	758	620
550	758	618
551	760	616
552	761	615
553	761	613
554	762	611
555	763	610
556	764	608
557	766	606
558	767	605
559	768	603
560	768	601
561	769	599
562	770	598
563	771	596
564	772	594
565	773	592
566	774	591
567	775	589
568	776	587
569	776	586
570	777	584
571	778	582
572	779	581
573	781	579
574	782	578
575	782	576
576	783	574
577	784	572
578	785	571
579	786	569
580	787	567
581	788	566
582	789	564
583	790	563
584	791	561
585	792	559
586	793	557
587	793	556
588	795	554
589	796	553
590	797	551
591	798	550
592	799	548
593	799	546
594	800	545
595	801	543
596	802	541
597	803	540
598	804	538
599	805	536
600	806	535
601	806	533
602	807	531
603	808	530
604	809	528
605	810	527
606	811	525
607	812	523
608	813	522
609	814	520
610	814	518
611	815	517
612	816	515
613	817	514
614	818	512
615	819	510
616	820	509
617	821	507
618	822	506
619	823	504
620	825	503
621	826	502
622	828	501
623	829	499
624	829	497
625	830	496
626	831	494
627	832	493
628	833	491
629	834	489
630	834	488
631	835	486
632	836	485
633	837	483
634	838	482
635	840	480
636	841	479
637	842	477
638	843	476
639	844	474
640	845	473
641	846	471
642	846	470
643	847	468
644	849	467
645	850	465
646	850	464
647	851	462
648	852	461
649	853	459
650	855	458
651	856	456
652	857	455
653	858	453
654	858	452
655	859	450
656	861	449
657	862	448
658	864	447
659	865	445
660	866	444
661	867	442
662	868	441
663	870	440
664	872	439
665	876	439
666	877	438
667	878	436
668	879	435
669	880	433
670	882	432
671	884	431
672	885	430
673	887	429
674	889	428
675	891	427
676	892	425
677	894	424
678	895	423
679	896	421
680	897	420
681	898	419
682	900	417
683	901	416
684	902	415
685	903	413
686	904	412
687	905	410
688	907	409
689	908	408
690	911	407
691	913	406
692	914	405
693	915	403
694	917	402
695	919	401
696	920	399
697	921	398
698	922	397
699	923	395
700	923	394
701	924	392
702	926	391
703	927	389
704	929	388
705	930	387
706	932	386
707	933	385
708	934	383
709	935	382
710	936	380
711	937	379
712	938	377
713	940	376
714	941	375
715	943	374
716	945	373
717	947	372
718	949	370
719	950	369
720	951	368
721	952	366
722	953	365
723	954	363
724	955	362
725	956	360
726	957	359
727	958	358
728	959	356
729	960	355
730	961	353
731	962	352
732	962	350
733	963	349
734	964	347
735	965	346
736	967	345
737	968	343
738	968	342
739	969	340
740	971	339
741	972	337
742	972	336
743	973	335
744	974	333
745	975	332
746	976	330
747	977	329
748	978	328
749	979	326
750	980	325
751	981	323
752	982	322
753	983	321
754	985	319
755	987	318
756	989	317
757	990	316
758	991	314
759	992	313
760	993	312
761	994	310
762	996	309
763	997	308
764	998	306
765	999	305
766	1000	303
767	1002	302
768	1003	301
769	1004	300
770	1005	298
771	1006	297
772	1007	295
773	1009	294
774	1010	293
775	1011	291
776	1012	290
777	1013	289
778	1015	288
779	1017	287
780	1019	285
781	1020	284
782	1022	283
783	1022	281
784	1023	280
785	1024	279
786	1025	277
787	1026	276
788	1027	274
789	1028	273
790	1030	272
791	1031	271
792	1033	269
793	1034	268
794	1035	266
795	1036	265
796	1037	264
797	1038	262
798	1039	261
799	1040	260
800	1041	258
801	1042	257
802	1043	256
803	1045	254
804	1047	253
805	1048	252
806	1049	250
807	1049	249
808	1050	248
809	1051	246
810	1052	245
811	1053	243
812	1054	242
813	1055	241
814	1056	239
815	1057	238
816	1059	237
817	1060	235
818	1061	234
819	1062	233
820	1063	231
821	1064	230
822	1065	229
823	1066	227
824	1067	226
825	1068	225
826	1069	223
827	1070	222
828	1071	220
829	1071	219
830	1073	218
831	1074	216
832	1075	215
833	1076	214
834	1077	212
835	1078	211
836	1079	210
837	1080	208
838	1081	207
839	1082	206
840	1083	204
841	1084	203
842	1085	202
843	1086	200
844	1087	199
845	1089	198
846	1090	196
847	1091	195
848	1091	194
849	1092	192
850	1093	191
851	1094	190
852	1095	188
853	1096	187
854	1097	186
855	1098	184
856	1099	183
857	1100	182
858	1101	180
859	1103	179
860	1104	178
861	1105	176
862	1106	175
863	1107	174
864	1108	172
865	1109	171
866	1110	170
867	1111	168
868	1112	167
869	1113	166
870	1114	165
871	1115	163
872	1116	162
873	1117	161
874	1118	159
875	1119	158
876	1120	157
877	1121	155
878	1122	154
879	1123	153
880	1124	151
881	1125	150
882	1126	149
883	1127	147
884	1128	146
885	1129	145
886	1130	143
887	1131	142
888	1132	141
889	1133	140
890	1134	138
891	1135	137
892	1136	136
893	1137	134
894	1138	133
895	1139	132
896	1140	130
897	1141	129
898	1142	128
899	1143	127
900	1144	125
901	1145	124
902	1146	123
903	1147	121
904	1148	120
905	1149	119
906	1150	117
907	1151	116
908	1152	115
909	1153	114
910	1154	112
911	1155	111
912	1156	110
913	1157	108
914	1158	107
915	1159	106
916	1160	105
917	1161	103
918	1162	102
919	1163	101
920	1164	99
921	1165	98
922	1166	97
923	1167	95
924	1168	94
925	1169	93
926	1170	92
927	1171	90
928	1172	89
929	1173	88
930	1174	87
931	1174	85
932	1175	84
933	1177	83
934	1178	81
935	1179	80
936	1180	79
937	1181	78
938	1182	76
939	1183	75
940	1184	74
941	1185	72
942	1186	71
943	1187	70
944	1188	69
945	1189	67
946	1190	66
947	1191	65
948	1192	64
949	1193	62
950	1194	61
951	1194	60
952	1195	58
953	1196	57
954	1197	56
955	1199	55
956	1199	53
957	1200	52
958	1201	51
959	1202	50
960	1203	48
961	1204	47
962	1205	46
963	1206	45
